Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
81,100,2,600,0.135903,0.201726,0.191093,0.046759,0.038268,0.050273,0.038862,0.05032,0.039148,0.047845,0.039427,0.047521,0.03895,0.05087,0.038341,0.057161
101,100,2,600,0.182371,0.329159,0.361669,0.091161,0.062998,0.091419,0.079194,0.099818,0.082914,0.090991,0.073703,0.08723,0.072407,0.098097,0.058947,0.076138
1,100,2,600,0.014204,0.000162,0.002412,8.4e-05,0.00465,0.002698,0.004606,0.000619,0.004621,0.00015,0.004001,0.000112,0.004623,0.001125,0.004606,0.000707
21,100,2,600,0.317861,0.024989,0.013679,0.003257,0.005229,0.004718,0.004795,0.003885,0.004693,0.003234,0.005166,0.003292,0.004724,0.004485,0.004719,0.004287
41,100,2,600,0.337097,0.086304,0.06355,0.012059,0.011269,0.013121,0.010716,0.012923,0.010645,0.013694,0.011085,0.012101,0.010842,0.013723,0.010791,0.013021
61,100,2,600,0.486959,0.259972,0.169086,0.039123,0.024602,0.029659,0.026662,0.035717,0.038604,0.042451,0.053172,0.046169,0.049543,0.052344,0.045467,0.051889
81,100,2,600,0.487922,0.370084,0.181771,0.046481,0.039158,0.051413,0.039093,0.057349,0.038715,0.047753,0.04232,0.044044,0.039134,0.051668,0.038854,0.050536
101,100,2,600,0.58291,0.627,0.323894,0.097165,0.083959,0.096847,0.068289,0.0904,0.059955,0.074507,0.056954,0.083318,0.056635,0.078283,0.061749,0.071842
1,100,2,600,0.008007,0.000129,0.003188,0.000131,0.00268,0.002212,0.002637,0.000427,0.002621,0.000112,0.003192,0.000113,0.002653,0.000765,0.002651,0.000484
21,100,2,600,0.710346,0.033714,0.011915,0.004439,0.007809,0.007218,0.006782,0.007027,0.007234,0.004715,0.008316,0.004614,0.007724,0.006607,0.007007,0.00543
41,100,2,600,1.95549,0.221632,0.022685,0.01195,0.011106,0.014123,0.010938,0.013141,0.010556,0.012084,0.010947,0.01205,0.0105,0.014144,0.010552,0.01319
61,100,2,600,1.39336,0.230074,0.094601,0.037153,0.031922,0.042022,0.048958,0.041981,0.037262,0.03666,0.026511,0.0283,0.035281,0.048865,0.050798,0.048004
81,100,2,600,2.73938,0.506066,0.132691,0.069065,0.068004,0.05781,0.078265,0.079775,0.070589,0.064127,0.04748,0.055166,0.046178,0.054416,0.047078,0.050565
101,100,2,600,0.835577,0.585402,0.195437,0.086695,0.076789,0.091839,0.082023,0.099282,0.071091,0.08313,0.074356,0.083914,0.081037,0.094201,0.073313,0.080383
1,100,2,600,0.008409,0.000137,0.001984,8.6e-05,0.001832,0.000573,0.001884,0.000297,0.001796,7.2e-05,0.001792,7.2e-05,0.001813,0.000532,0.001799,0.000322
