Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUl, time_subproblem_BAUl, time_master_BAUe, time_subproblem_BAUe, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUl, time_subproblem_KCUl, time_master_KCUl, time_subproblem_KCUe, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
81,90,2,600,5.0439,0.897686,5.25248,0.47186,5.13798,0.470443,4.93685,0.472894,8.96231,0.450964,1.39,0.233472,1.17468,0.209177,0.083072,0.206182,0.106111,0.23877,0.084752,0.093047,0.085187,0.093642,0.102233,0.093006,0.081036,0.215932,0.078427,0.232806
101,90,2,600,4.50205,1.32921,5.25105,0.715575,4.54715,0.710105,5.05491,0.700112,7.9701,0.718845,2.3459,0.314483,1.80657,0.332996,0.110087,0.315139,0.10694,0.285535,0.103948,0.134027,0.104594,0.133942,0.112812,0.134542,0.101962,0.310907,0.103928,0.323106
1,90,2,600,0.072214,0.000309,0.072649,0.000235,0.063814,0.000151,0.0639,0.000199,0.081807,0.000153,0.044017,0.003529,0.048009,0.002841,0.046225,0.004353,0.040655,0.003608,0.041952,0.00026,0.044386,0.000324,0.047139,0.000298,0.041391,0.003841,0.043519,0.003408
21,90,2,600,2.56363,0.063915,2.90981,0.033481,2.69315,0.037612,2.51811,0.030901,4.67417,0.031961,0.164368,0.023003,0.238257,0.026164,0.036614,0.029745,0.038718,0.020056,0.04957,0.008405,0.03636,0.008092,0.047823,0.007969,0.037048,0.019931,0.035658,0.022913
41,90,2,600,2.295,0.200874,2.74404,0.10981,2.28637,0.110917,2.12329,0.111666,3.96002,0.101931,0.399195,0.068183,0.410095,0.060194,0.046006,0.067593,0.048647,0.0746,0.044101,0.026018,0.045849,0.024962,0.053487,0.025233,0.052508,0.071411,0.044802,0.071951
61,90,2,600,2.96122,0.432997,2.62584,0.213235,2.99631,0.23077,3.4218,0.249635,5.09661,0.215793,0.814039,0.150174,0.701623,0.141767,0.064512,0.127786,0.059462,0.121063,0.060026,0.051795,0.059108,0.05221,0.065947,0.052082,0.062524,0.107519,0.059901,0.123821
81,90,2,600,3.29248,0.719681,3.58033,0.391901,3.38204,0.391367,3.90248,0.389067,5.57516,0.367793,1.50765,0.224532,1.29129,0.213598,0.097288,0.200556,0.143822,0.203375,0.083167,0.092283,0.082743,0.092268,0.088447,0.089863,0.083143,0.217928,0.079023,0.228051
101,90,2,600,2.98192,1.00239,3.15857,0.519706,3.03105,0.529055,4.05727,0.579822,9.12896,0.684839,1.57488,0.331559,1.19837,0.297635,0.113901,0.333736,0.116497,0.307434,0.105612,0.134512,0.104927,0.133872,0.112283,0.134337,0.111927,0.263363,0.105261,0.312014
1,90,2,600,0.029403,0.000181,0.036951,9.7e-05,0.028219,0.000106,0.060391,0.00015,0.037132,0.000124,0.030811,0.001849,0.029857,0.00153,0.022402,0.002236,0.025513,0.00218,0.024478,0.000194,0.044884,0.00023,0.031801,0.000178,0.029541,0.002425,0.023763,0.002069
21,90,2,600,0.028505,0.009531,0.032704,0.003955,0.033129,0.003915,0.063751,0.006631,0.043014,0.003924,0.178992,0.026207,0.160502,0.029268,0.030279,0.02543,0.028584,0.022123,0.028862,0.00791,0.050733,0.013327,0.034064,0.007941,0.026664,0.019747,0.028373,0.02434
41,90,2,600,0.037168,0.028603,0.033138,0.014956,0.038357,0.014991,0.056009,0.022636,0.042501,0.015591,0.707691,0.074412,0.588134,0.062223,0.04041,0.06582,0.038254,0.073275,0.036655,0.024587,0.066592,0.039958,0.047563,0.025723,0.037711,0.069749,0.037238,0.066245
61,90,2,600,0.030416,0.059765,0.031486,0.031938,0.028204,0.0302,0.056815,0.046039,0.043628,0.031129,1.61484,0.115877,1.5029,0.137534,0.053628,0.133847,0.055343,0.124069,0.057236,0.052998,0.0913,0.084656,0.058826,0.051798,0.052493,0.135977,0.057292,0.127997
81,90,2,600,0.028678,0.102783,0.031609,0.052256,0.032028,0.052463,0.058713,0.077638,0.044073,0.051329,3.59365,0.225431,2.01865,0.23143,0.073212,0.231996,0.072739,0.21049,0.073106,0.090447,0.121027,0.139975,0.077193,0.088869,0.072923,0.232125,0.076464,0.202068
101,90,2,600,0.028597,0.152519,0.030738,0.076441,0.028082,0.077021,0.054974,0.115143,0.042482,0.076929,4.68128,0.345454,4.11455,0.345862,0.105866,0.318315,0.102297,0.265441,0.09925,0.136519,0.156758,0.213243,0.104175,0.135011,0.097896,0.320487,0.09884,0.307296
1,90,2,600,0.065725,0.000352,0.068257,0.000168,0.060356,0.000231,0.060036,0.00017,0.075604,0.000188,0.025206,0.00231,0.024387,0.001962,0.024077,0.00212,0.039962,0.002062,0.025167,0.000131,0.025857,0.000137,0.02613,0.000203,0.024383,0.002436,0.025803,0.001882
21,90,2,600,0.103136,0.017368,0.117379,0.00839,0.105903,0.009239,0.238818,0.014383,0.098165,0.006784,0.168295,0.02625,0.175767,0.028126,0.048807,0.04391,0.051517,0.042953,0.053415,0.012441,0.061596,0.014157,0.06016,0.011867,0.047246,0.042166,0.049829,0.029539
