Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
21,90,2,600,0.570302,0.047875,0.052154,0.005644,0.046186,0.00563,0.007929,0.007026,0.008008,0.006397,0.007638,0.005354,0.00834,0.005351,0.007836,0.007155,0.007641,0.006395
41,90,2,600,0.609776,0.175648,0.209426,0.022432,0.306716,0.022746,0.021759,0.025147,0.021829,0.027015,0.021463,0.021846,0.021517,0.02169,0.020419,0.023946,0.020733,0.023178
61,90,2,600,0.463156,0.323539,0.344896,0.045432,0.389232,0.04693,0.042671,0.049111,0.039983,0.051123,0.03961,0.047686,0.038455,0.044553,0.038241,0.050708,0.03902,0.0504
81,90,2,600,0.56596,0.594441,0.472448,0.078721,0.369378,0.082065,0.061296,0.087508,0.062208,0.086636,0.062945,0.083067,0.062841,0.083595,0.0618,0.087495,0.062446,0.08634
101,90,2,600,0.564168,0.837337,0.836042,0.126367,0.866927,0.123964,0.093782,0.132294,0.093437,0.130998,0.09261,0.125198,0.094759,0.126697,0.094498,0.135186,0.09484,0.134605
1,90,2,600,0.015357,0.000229,0.002778,0.000141,0.002567,0.000145,0.002536,0.000768,0.002565,0.000398,0.002588,0.000125,0.00257,0.000124,0.002606,0.000863,0.002615,0.000568
21,90,2,600,0.033009,0.013703,0.11052,0.005738,0.074042,0.006289,0.012045,0.010347,0.012362,0.009417,0.011809,0.00843,0.013661,0.009006,0.011517,0.010241,0.011375,0.009434
41,90,2,600,0.040138,0.051369,0.316553,0.021621,0.243502,0.021557,0.030777,0.034815,0.029615,0.034288,0.032243,0.032163,0.033524,0.032408,0.03066,0.034128,0.030954,0.034314
61,90,2,600,0.055977,0.113344,0.722284,0.048039,0.399209,0.048132,0.064261,0.077445,0.064104,0.076041,0.062434,0.077361,0.063378,0.072187,0.064696,0.07463,0.062312,0.076295
81,90,2,600,0.06764,0.195534,1.60572,0.079421,0.838067,0.083357,0.096487,0.135392,0.095094,0.130983,0.100554,0.124372,0.100131,0.133528,0.094324,0.132395,0.098427,0.133282
101,90,2,600,0.091089,0.302265,2.90532,0.133611,3.2238,0.135911,0.147057,0.201961,0.149234,0.20025,0.15244,0.211304,0.156828,0.190952,0.151727,0.204696,0.152765,0.214722
1,90,2,600,0.005574,0.000166,0.005349,0.000176,0.003972,0.000152,0.00305,0.000934,0.002787,0.000498,0.002506,0.000119,0.003077,0.000121,0.002576,0.000957,0.002528,0.00056
21,90,2,600,0.005636,0.005379,0.08345,0.005641,0.06302,0.005634,0.007119,0.006351,0.007053,0.005898,0.006746,0.005328,0.007925,0.005325,0.007141,0.006399,0.006828,0.005866
41,90,2,600,0.005365,0.021835,0.278804,0.02133,0.262437,0.021725,0.019863,0.022499,0.018891,0.021884,0.01881,0.022783,0.019579,0.020959,0.019549,0.022504,0.018938,0.021807
61,90,2,600,0.011183,0.044997,0.648848,0.045473,0.420701,0.047599,0.039064,0.051915,0.038296,0.049273,0.039411,0.045212,0.038826,0.047184,0.038381,0.050372,0.038391,0.04952
81,90,2,600,0.015903,0.078558,1.70567,0.086463,0.999064,0.082543,0.061182,0.086275,0.064144,0.080789,0.063696,0.077178,0.062568,0.081554,0.060413,0.085813,0.059613,0.084465
101,90,2,600,0.019496,0.117777,1.62878,0.124001,1.99974,0.132572,0.090101,0.128104,0.088075,0.127251,0.089411,0.121771,0.09236,0.135361,0.089434,0.130969,0.092876,0.128721
1,90,2,600,0.00765,0.00014,0.004236,0.000143,0.003968,0.000152,0.002664,0.000741,0.0027,0.000502,0.002644,0.000118,0.003262,0.000131,0.002635,0.000722,0.002612,0.000484
21,90,2,600,0.00549,0.005345,0.132525,0.005664,0.066921,0.005741,0.006844,0.006505,0.006982,0.005696,0.006673,0.005668,0.007151,0.005304,0.006642,0.006041,0.006667,0.006267
41,90,2,600,0.006795,0.019274,0.271927,0.020546,0.267387,0.023028,0.018464,0.021147,0.017571,0.02061,0.017609,0.01956,0.018364,0.019559,0.017688,0.020776,0.017531,0.020589
61,90,2,600,0.01068,0.043697,0.822087,0.046173,0.408633,0.046414,0.037384,0.04844,0.037192,0.048286,0.037722,0.045831,0.038114,0.045714,0.037224,0.048611,0.037653,0.048687
81,90,2,600,0.013684,0.07693,2.96225,0.080313,1.36803,0.086151,0.059479,0.083836,0.06086,0.085184,0.060753,0.082241,0.06214,0.081799,0.060516,0.086088,0.060706,0.086348
101,90,2,600,0.019147,0.120967,2.00487,0.124516,3.36665,0.134387,0.093259,0.132518,0.093431,0.131021,0.09175,0.125079,0.092847,0.123953,0.092565,0.139005,0.09282,0.131536
1,90,2,600,0.024125,0.000294,0.00367,0.000151,0.003647,0.000139,0.005579,0.000856,0.005787,0.0005,0.007088,0.000253,0.005765,0.000191,0.005383,0.000907,0.005485,0.000609
21,90,2,600,0.191704,0.030141,0.096573,0.005455,0.03958,0.005698,0.007348,0.006772,0.007444,0.006048,0.00728,0.005198,0.00832,0.00527,0.007416,0.006845,0.007284,0.006138
41,90,2,600,0.165794,0.101245,0.198178,0.020752,0.193812,0.02077,0.019976,0.022465,0.018739,0.021842,0.01876,0.020134,0.020044,0.0204,0.018954,0.022667,0.019327,0.021906
61,90,2,600,0.254986,0.246286,0.390143,0.047565,0.375219,0.047467,0.039332,0.050561,0.038888,0.05474,0.040047,0.045137,0.040199,0.047143,0.039144,0.050966,0.039121,0.05005
81,90,2,600,0.288742,0.430458,1.0233,0.091391,0.792074,0.077198,0.064054,0.082964,0.061322,0.085349,0.060663,0.089125,0.064416,0.07891,0.06213,0.088779,0.061611,0.086851
