Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
1,20,0.004588,8.3e-05,0.002947,9.7e-05,0.002165,8.3e-05,0.002172,0.000864,0.002328,0.008524
1,20,0.016109,0.000165,0.004014,0.000159,0.005564,0.000179,0.005577,0.00025,0.004017,0.000338
1,20,0.009317,0.000123,0.0021,0.000103,0.002117,8e-05,0.002088,0.000765,0.002102,0.008223
1,20,0.017187,0.000172,0.002791,9.8e-05,0.005198,0.000176,0.00521,0.001283,0.00538,0.01617
1,20,0.009272,0.000124,0.0022,9.6e-05,0.002245,8.2e-05,0.002208,0.000655,0.002214,0.007918
1,20,0.009065,0.000122,0.002169,9.4e-05,0.002193,8.2e-05,0.00215,0.000577,0.00217,0.007949
1,20,0.009703,0.000124,0.004077,0.000147,0.003811,0.000127,0.0038,0.000386,0.004061,0.002134
1,20,0.009248,0.000129,0.002162,9.5e-05,0.002193,8.1e-05,0.002163,0.000645,0.002176,0.008088
1,20,0.015524,0.000165,0.00423,0.000149,0.005183,0.000184,0.005167,0.001467,0.004307,0.009818
1,20,0.00877,0.000123,0.002135,0.000105,0.002158,8.2e-05,0.002135,0.000731,0.002123,0.008246
1,20,0.016722,0.000167,0.002889,9.8e-05,0.005483,0.000169,0.005481,0.000595,0.002904,0.00155
1,20,0.004265,8.8e-05,0.003043,9.7e-05,0.002047,8.1e-05,0.002052,0.000706,0.002226,0.002612
1,20,0.009698,0.000125,0.001878,9.5e-05,0.001915,8.1e-05,0.001874,0.000599,0.001887,0.008003
1,20,0.008959,0.000124,0.003965,0.000148,0.003695,0.000124,0.00369,0.00028,0.003972,0.001066
1,20,0.00424,8.3e-05,0.002903,9.8e-05,0.001998,8.1e-05,0.002054,0.000782,0.00217,0.008329
1,20,0.017308,0.000166,0.0028,9.9e-05,0.005978,0.000169,0.005997,0.000461,0.002793,0.001448
1,20,0.009377,0.000125,0.003843,0.000147,0.003314,0.000126,0.003346,0.000988,0.003856,0.00958
1,20,0.016846,0.000165,0.004185,0.000148,0.004962,0.000171,0.004954,0.001438,0.005411,0.016368
1,20,0.004293,8.3e-05,0.003022,9.6e-05,0.00201,8.2e-05,0.002005,0.000576,0.002095,0.00793
1,20,0.009412,0.000125,0.003983,0.000147,0.003338,0.000127,0.003332,0.000929,0.003991,0.011866
1,20,0.008858,0.000123,0.001991,9.6e-05,0.002023,8.6e-05,0.001985,0.000634,0.002007,0.006178
1,20,0.009403,0.000124,0.002111,9.7e-05,0.002148,8.3e-05,0.002119,0.000649,0.00212,0.008094
1,20,0.004603,8.3e-05,0.003177,9.8e-05,0.002154,8.3e-05,0.002166,0.000634,0.002139,0.008075
1,20,0.008567,0.000124,0.001942,9.6e-05,0.001972,8.2e-05,0.001938,0.000475,0.00194,0.005065
1,20,0.004067,8.2e-05,0.003339,9.8e-05,0.002166,8.3e-05,0.002197,0.00056,0.002182,0.00792
1,20,0.009246,0.000123,0.001997,0.000103,0.002034,8.1e-05,0.001996,0.000585,0.002005,0.00491
1,20,0.015411,0.000165,0.003102,9.8e-05,0.006205,0.000174,0.006132,0.001223,0.003067,0.007183
1,20,0.004475,8.4e-05,0.002945,9.7e-05,0.002172,8.4e-05,0.002209,0.00079,0.002253,0.008302
1,20,0.004272,9e-05,0.003284,9.7e-05,0.002133,8.1e-05,0.002126,0.000562,0.002113,0.007924
1,20,0.004309,8.3e-05,0.00315,0.000104,0.002146,8.2e-05,0.002141,0.000627,0.002128,0.008074
1,20,0.008087,0.000123,0.004172,0.000146,0.003531,0.000128,0.003532,0.000864,0.004177,0.004718
1,20,0.015751,0.000173,0.002831,0.0001,0.005582,0.000174,0.005544,0.001328,0.002821,0.007118
1,20,0.016517,0.000165,0.003113,0.000105,0.005825,0.000183,0.005817,0.001174,0.005842,0.015906
1,20,0.017775,0.000163,0.002798,9.7e-05,0.004402,0.000124,0.004362,0.000226,0.002798,0.000316
1,20,0.009637,0.000123,0.002013,9.6e-05,0.002033,8.2e-05,0.002002,0.000616,0.002017,0.008033
1,20,0.017415,0.000166,0.002893,0.000109,0.005394,0.000179,0.005413,0.001435,0.005369,0.016425
1,20,0.008944,0.000122,0.001886,9.5e-05,0.001927,8.1e-05,0.001878,0.000875,0.001893,0.00664
1,20,0.016518,0.000164,0.002801,9.8e-05,0.005716,0.00017,0.005739,0.001103,0.002791,0.006896
1,20,0.009177,0.000124,0.002177,9.6e-05,0.002195,9.1e-05,0.00218,0.000669,0.002151,0.008125
1,20,0.016011,0.000168,0.002981,9.7e-05,0.005581,0.00017,0.005623,0.001298,0.004168,0.012127
1,20,0.017735,0.000174,0.002844,9.7e-05,0.005911,0.000172,0.0059,0.000686,0.002861,0.003109
1,20,0.008467,0.000125,0.002143,9.6e-05,0.002164,8.2e-05,0.002129,0.000659,0.00214,0.008025
1,20,0.009363,0.000125,0.00198,0.000106,0.002001,8.3e-05,0.001968,0.000494,0.00198,0.004541
1,20,0.017556,0.000167,0.004017,0.00015,0.004604,0.000179,0.004577,0.001233,0.00458,0.016068
1,20,0.016384,0.000168,0.004185,0.000155,0.004781,0.000171,0.00478,0.001614,0.005425,0.016697
1,20,0.004134,8.2e-05,0.002968,9.7e-05,0.002116,8.2e-05,0.002131,0.000571,0.002221,0.00794
1,20,0.009557,0.000124,0.002171,9.6e-05,0.002304,8.3e-05,0.002181,0.000424,0.002209,0.004618
1,20,0.004087,8.4e-05,0.003218,9.8e-05,0.0022,8.1e-05,0.002194,0.000608,0.002338,0.008217
1,20,0.008963,0.000124,0.001931,9.7e-05,0.001972,8.3e-05,0.001929,0.000642,0.001942,0.008082
1,20,0.004413,8.9e-05,0.003161,9.7e-05,0.00203,8.3e-05,0.002039,0.000609,0.00221,0.008025
1,20,0.008511,0.000124,0.002193,9.5e-05,0.00223,8.9e-05,0.002174,0.000474,0.002187,0.004475
