Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
11,100,3,200,0.008771,0.003843,0.008539,0.00446
11,100,3,300,0.009634,0.003515,0.009114,0.004279
11,100,3,400,0.008145,0.004848,0.008264,0.005151
11,100,3,500,0.008498,0.004981,0.009003,0.00455
11,100,3,600,0.009319,0.003873,0.009605,0.004149
11,100,3,700,0.008307,0.004231,0.008003,0.005911
11,100,3,800,0.009194,0.004716,0.009582,0.00441
11,100,3,900,0.008811,0.004221,0.00804,0.005866
11,100,3,1000,0.008935,0.005227,0.009246,0.005748
11,100,3,1100,0.008927,0.005653,0.009208,0.005039
11,100,3,1200,0.009086,0.004807,0.007833,0.006935
11,100,3,1300,0.009275,0.005244,0.008996,0.005237
11,100,3,1400,0.008204,0.006428,0.00933,0.006813
11,100,5,100,0.007658,0.004623,0.007591,0.0047
11,100,5,200,0.007785,0.004537,0.008831,0.004686
11,100,5,300,0.009578,0.00382,0.009398,0.004
11,100,5,400,0.009142,0.003648,0.00933,0.004322
11,100,5,500,0.008935,0.003684,0.00834,0.004614
11,100,5,600,0.008561,0.005357,0.009058,0.005398
11,100,5,700,0.009378,0.004028,0.008037,0.005371
11,100,5,800,0.00804,0.004319,0.008138,0.005634
11,100,5,900,0.009284,0.004774,0.009073,0.006369
11,100,5,1000,0.008308,0.004627,0.00843,0.00635
11,100,5,1100,0.008269,0.004571,0.00805,0.00659
11,100,5,1200,0.008232,0.004671,0.007858,0.007222
11,100,5,1300,0.00889,0.005529,0.008877,0.007129
11,100,5,1400,0.009183,0.00558,0.010029,0.008051
11,100,7,100,0.009068,0.003223,0.008901,0.003467
11,100,7,200,0.009134,0.003385,0.009209,0.004088
11,100,7,300,0.009195,0.003594,0.007957,0.005359
11,100,7,400,0.008335,0.004927,0.008917,0.005839
11,100,7,500,0.009397,0.003714,0.008746,0.005622
11,100,7,600,0.008881,0.004767,0.009761,0.008297
11,100,7,700,0.009388,0.004816,0.008453,0.007179
11,100,7,800,0.009454,0.004451,0.008829,0.007126
11,100,7,900,0.00938,0.004688,0.010487,0.008366
11,100,7,1000,0.009043,0.004258,0.00848,0.009492
11,100,7,1100,0.008159,0.005322,0.00964,0.011126
11,100,7,1200,0.008863,0.00456,0.00868,0.010159
11,100,7,1300,0.008432,0.006134,0.008596,0.010139
11,100,7,1400,0.008335,0.004815,0.007924,0.010924
11,100,9,100,0.007897,0.00318,0.007807,0.004092
11,100,9,200,0.007875,0.003649,0.007648,0.005023
11,100,9,300,0.008418,0.004126,0.007878,0.005644
11,100,9,400,0.008036,0.003815,0.008202,0.006333
11,100,9,500,0.008068,0.003732,0.008182,0.007157
11,100,9,600,0.008376,0.003948,0.00832,0.007904
11,100,9,700,0.008312,0.003988,0.008221,0.008868
11,100,9,800,0.008273,0.004126,0.00831,0.009527
11,100,9,900,0.008268,0.004199,0.008178,0.010337
11,100,9,1000,0.008586,0.004314,0.00853,0.012195
11,100,9,1100,0.013138,0.008148,0.009806,0.01453
11,100,9,1200,0.009797,0.004958,0.008098,0.01431
11,100,9,1300,0.009463,0.00476,0.009413,0.01618
11,100,9,1400,0.00885,0.004844,0.008167,0.015858
11,100,11,100,0.008272,0.00336,0.008282,0.004112
11,100,11,200,0.008405,0.003786,0.008331,0.0054
11,100,11,300,0.008472,0.003549,0.008658,0.006534
11,100,11,400,0.008416,0.003698,0.008197,0.007891
11,100,11,500,0.008272,0.003836,0.008171,0.009058
11,100,11,600,0.008283,0.00532,0.009481,0.011889
11,100,11,700,0.010101,0.004655,0.008523,0.012971
11,100,11,800,0.009738,0.005034,0.008629,0.013115
11,100,11,900,0.008941,0.004167,0.008699,0.015393
11,100,11,1000,0.00867,0.005846,0.008938,0.016605
11,100,11,1100,0.008717,0.004782,0.009672,0.015835
11,100,11,1200,0.008074,0.004693,0.00793,0.017401
11,100,11,1300,0.011559,0.006936,0.009067,0.020064
11,100,11,1400,0.009357,0.005614,0.008525,0.022943
21,80,3,100,0.01361,0.010721,0.012861,0.010041
21,80,3,200,0.017537,0.013474,0.017351,0.013726
21,80,3,300,0.016541,0.014914,0.017034,0.013421
21,80,3,400,0.017029,0.014153,0.017081,0.013611
