Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
11,90,11,400,0.004548,0.006749,0.004321,0.003706
11,90,11,500,0.00553,0.005173,0.005716,0.004109
11,90,11,600,0.004282,0.007132,0.004095,0.003443
11,90,11,700,0.004311,0.007295,0.005457,0.004866
11,90,11,800,0.003926,0.008743,0.004146,0.004423
11,90,11,900,0.00558,0.007971,0.005508,0.005209
11,90,11,1000,0.004215,0.008812,0.006036,0.005792
11,90,11,1100,0.006322,0.009064,0.004768,0.00633
11,90,11,1200,0.00431,0.011674,0.004335,0.008493
11,90,11,1300,0.003915,0.012161,0.004153,0.0079
11,90,11,1400,0.004145,0.01275,0.004129,0.007856
11,100,3,100,0.003951,0.001678,0.005859,0.002052
11,100,3,200,0.00385,0.001865,0.006133,0.00194
11,100,3,300,0.003859,0.00203,0.004901,0.002366
11,100,3,400,0.00393,0.002192,0.00538,0.002475
11,100,3,500,0.004496,0.004365,0.003921,0.001952
11,100,3,600,0.005462,0.002989,0.003791,0.002056
11,100,3,700,0.004501,0.004154,0.004231,0.002939
11,100,3,800,0.003985,0.00264,0.006247,0.002507
11,100,3,900,0.003908,0.003286,0.005213,0.00303
11,100,3,1000,0.004184,0.005369,0.003866,0.002021
11,100,3,1100,0.005995,0.003467,0.00422,0.002382
11,100,3,1200,0.005554,0.003591,0.005245,0.003881
11,100,3,1300,0.00391,0.003966,0.005828,0.002936
11,100,3,1400,0.005156,0.006016,0.004042,0.002857
11,100,5,100,0.006062,0.00239,0.004337,0.002422
11,100,5,200,0.00422,0.00195,0.005881,0.001956
11,100,5,300,0.003995,0.002559,0.00506,0.0024
11,100,5,400,0.004578,0.002785,0.005434,0.001898
11,100,5,500,0.005246,0.004124,0.003968,0.002357
11,100,5,600,0.004937,0.003955,0.0048,0.003109
11,100,5,700,0.003848,0.003202,0.006758,0.002404
11,100,5,800,0.00427,0.004079,0.004834,0.002265
11,100,5,900,0.00587,0.004331,0.003826,0.002726
11,100,5,1000,0.004985,0.005423,0.005039,0.004288
11,100,5,1100,0.003818,0.00484,0.005732,0.002694
11,100,5,1200,0.006048,0.005281,0.004154,0.003303
11,100,5,1300,0.005543,0.00491,0.005122,0.003202
11,100,5,1400,0.004861,0.006582,0.003886,0.003101
11,100,7,100,0.004881,0.003583,0.005207,0.003484
11,100,7,200,0.00394,0.002207,0.007004,0.002042
11,100,7,300,0.00394,0.002962,0.006005,0.002105
11,100,7,400,0.005965,0.003636,0.004031,0.002495
11,100,7,500,0.005252,0.004597,0.004798,0.004454
11,100,7,600,0.003881,0.00377,0.005145,0.003261
11,100,7,700,0.004941,0.006439,0.004053,0.002806
11,100,7,800,0.005444,0.005556,0.006389,0.003172
11,100,7,900,0.00446,0.006716,0.004324,0.002778
11,100,7,1000,0.00471,0.005938,0.005316,0.005283
11,100,7,1100,0.004326,0.006805,0.004197,0.003031
11,100,7,1200,0.004247,0.00803,0.006981,0.003419
11,100,7,1300,0.004891,0.00842,0.004697,0.005076
11,100,7,1400,0.003939,0.008069,0.004854,0.003454
11,100,9,100,0.006645,0.002589,0.004472,0.002211
11,100,9,200,0.00594,0.002467,0.005793,0.003044
11,100,9,300,0.003794,0.002894,0.005191,0.002568
11,100,9,400,0.004827,0.005217,0.004045,0.002575
11,100,9,500,0.005051,0.004551,0.005093,0.00483
11,100,9,600,0.00373,0.004973,0.006186,0.00289
11,100,9,700,0.005982,0.005066,0.004497,0.005423
11,100,9,800,0.003775,0.005628,0.005899,0.003889
11,100,9,900,0.005886,0.006218,0.004747,0.005871
11,100,9,1000,0.003727,0.006846,0.005411,0.003945
11,100,9,1100,0.004599,0.008311,0.006868,0.004339
11,100,9,1200,0.006089,0.007879,0.004684,0.006592
11,100,9,1300,0.004042,0.011191,0.004313,0.005438
