Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,80,0.01261,0.000252,0.002725,0.000129,0.002182,0.001768,0.002726,0.001435,0.002862,0.000165,0.002978,0.00013,0.002042,0.002702,0.002708,0.003208
1,80,0.011263,0.000223,0.003142,0.000173,0.003018,0.002594,0.002276,0.000748,0.002063,0.000106,0.002365,0.00017,0.002682,0.005048,0.002281,0.002166
1,80,0.013029,0.000286,0.002292,0.000169,0.002371,0.001475,0.003695,0.000788,0.002897,0.000175,0.002726,9.4e-05,0.002165,0.003189,0.003512,0.001938
1,80,0.005778,0.000151,0.003501,0.000167,0.003479,0.00257,0.003632,0.000965,0.002348,0.000108,0.003051,0.00012,0.002901,0.006018,0.002735,0.002203
1,80,0.011528,0.000279,0.00217,0.00014,0.002078,0.001675,0.0029,0.001577,0.002882,0.00016,0.002759,0.000128,0.002131,0.003364,0.002958,0.003485
1,80,0.006419,0.000159,0.003294,0.000149,0.003561,0.003074,0.00303,0.001575,0.002276,0.000107,0.003417,0.000123,0.003231,0.005441,0.002515,0.002289
1,80,0.012475,0.000196,0.00236,0.000158,0.002484,0.002835,0.003448,0.001338,0.002647,0.000105,0.002216,0.000169,0.002703,0.005203,0.003116,0.002749
1,80,0.004453,0.000143,0.004675,0.000215,0.003137,0.002102,0.002433,0.000862,0.002285,0.000147,0.00425,0.000199,0.003477,0.00386,0.002314,0.002419
1,80,0.012724,0.000243,0.004293,0.000281,0.006495,0.002387,0.004026,0.000901,0.005732,0.000243,0.005191,0.000283,0.004406,0.004696,0.00566,0.002438
1,80,0.005639,0.000149,0.005146,0.00017,0.002868,0.002385,0.002289,0.000951,0.002823,0.000186,0.004807,0.000186,0.002942,0.003072,0.002445,0.004046
