Gamma, tau, nb_path_to_select, time_master_BA, time_subproblem_BA, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCHOGL, time_subproblem_KCHOGL
91,100,1,1.2411,1.29103,0.147736,0.166402,0.135826,0.152596,0.126852,0.17843
101,100,1,1.21227,1.47025,0.190063,0.203593,0.182042,0.157097,0.140283,0.177552
1,100,1,0.020166,0.000331,0.003234,0.000153,0.002346,0.000106,0.002237,0.000136
11,100,1,0.033372,0.004224,0.008402,0.002627,0.006965,0.002421,0.007388,0.002556
21,100,1,0.035349,0.016586,0.019256,0.011242,0.018711,0.010782,0.018531,0.010959
31,100,1,0.029343,0.023849,0.030406,0.025689,0.042504,0.028675,0.028383,0.023029
41,100,1,0.073263,0.080128,0.047676,0.043287,0.070365,0.051041,0.057057,0.049498
51,100,1,0.069275,0.101913,0.076359,0.077933,0.081722,0.072332,0.082169,0.077318
61,100,1,0.075035,0.132851,0.115584,0.105003,0.106909,0.112235,0.113147,0.121861
71,100,1,0.107606,0.20962,0.148583,0.136245,0.141435,0.135373,0.123507,0.145858
81,100,1,0.107495,0.267932,0.167344,0.167327,0.149868,0.15914,0.151813,0.202002
91,100,1,0.110485,0.283006,0.172042,0.2706,0.173458,0.224886,0.174173,0.237059
101,100,1,0.173163,0.409664,0.250434,0.307131,0.256872,0.256904,0.267719,0.31528
1,100,1,0.034084,0.000372,0.007607,0.000252,0.006778,0.000191,0.00595,0.000207
11,100,1,0.023679,0.003835,0.006978,0.00199,0.006294,0.001683,0.006946,0.001841
21,100,1,0.039176,0.018315,0.01118,0.007218,0.009795,0.006029,0.010723,0.006041
31,100,1,0.033245,0.025724,0.021679,0.016874,0.025783,0.019855,0.022502,0.019212
41,100,1,0.055169,0.060325,0.04205,0.037671,0.031478,0.027183,0.035773,0.03636
51,100,1,0.069958,0.101616,0.053023,0.066663,0.040115,0.045437,0.055077,0.053339
61,100,1,0.100662,0.162146,0.074451,0.076054,0.068404,0.074318,0.06493,0.0773
71,100,1,0.098311,0.219614,0.098808,0.102333,0.095524,0.09256,0.086319,0.092989
81,100,1,0.120663,0.284832,0.134311,0.132648,0.090634,0.110079,0.129904,0.142026
91,100,1,0.146579,0.342802,0.124224,0.138057,0.146577,0.12811,0.165559,0.153349
101,100,1,0.163673,0.42081,0.172187,0.181725,0.131512,0.174424,0.143362,0.214118
1,100,1,0.016542,0.000294,0.00334,0.000147,0.002691,0.000116,0.002551,0.000131
11,100,1,0.056496,0.005827,0.005592,0.001872,0.00486,0.001679,0.004376,0.001674
21,100,1,0.057372,0.021288,0.011274,0.006438,0.01114,0.00598,0.009939,0.00557
31,100,1,0.072449,0.047402,0.029417,0.023218,0.020522,0.016418,0.016007,0.013783
41,100,1,0.100842,0.089609,0.030552,0.033242,0.038913,0.035032,0.03906,0.034014
51,100,1,0.100796,0.133084,0.046654,0.044192,0.056209,0.055214,0.048006,0.053554
61,100,1,0.1317,0.196126,0.062111,0.077562,0.059102,0.073532,0.063409,0.073584
71,100,1,0.142172,0.279689,0.093775,0.098834,0.09511,0.078607,0.075417,0.08964
81,100,1,0.150751,0.324464,0.099361,0.102464,0.09976,0.128386,0.11091,0.103419
91,100,1,0.095872,0.265088,0.145225,0.134788,0.161139,0.142034,0.128561,0.188157
101,100,1,0.192394,0.471338,0.158287,0.180207,0.131025,0.172557,0.136989,0.224034
1,100,1,0.009838,0.000206,0.003269,0.000155,0.002751,0.000117,0.002618,0.000142
11,100,1,0.011493,0.002495,0.005048,0.001791,0.004768,0.001617,0.005165,0.001638
21,100,1,0.084242,0.02867,0.012075,0.006455,0.010298,0.005788,0.009923,0.006289
31,100,1,0.065742,0.041588,0.026452,0.020431,0.021239,0.016186,0.01926,0.017682
41,100,1,0.093311,0.090841,0.028934,0.031085,0.039722,0.031392,0.034169,0.037747
51,100,1,0.103223,0.134455,0.045293,0.048478,0.052228,0.053488,0.040982,0.0556
61,100,1,0.039932,0.102957,0.071393,0.073789,0.072272,0.077026,0.068288,0.070488
71,100,1,0.042715,0.122987,0.075268,0.104129,0.085826,0.0878,0.090986,0.120812
81,100,1,0.054077,0.167351,0.121346,0.13352,0.096993,0.099793,0.120035,0.144107
91,100,1,0.066819,0.200083,0.101653,0.173437,0.111679,0.141232,0.129918,0.141838
101,100,1,0.078096,0.256223,0.136797,0.212485,0.155205,0.19517,0.190805,0.196242
1,100,1,0.0115,0.000256,0.003201,0.000161,0.00255,0.00011,0.002447,0.000134
11,100,1,0.005384,0.001668,0.004501,0.001833,0.00407,0.001629,0.004273,0.001653
21,100,1,0.007394,0.007332,0.012194,0.006818,0.011314,0.006454,0.010507,0.006137
31,100,1,0.007678,0.015102,0.016891,0.015057,0.022201,0.021516,0.027477,0.023662
41,100,1,0.014115,0.028563,0.027662,0.031106,0.038275,0.036607,0.03626,0.033592
51,100,1,0.012041,0.037054,0.05758,0.058196,0.045263,0.0418,0.051525,0.050912
61,100,1,0.021416,0.06492,0.060809,0.073195,0.072596,0.073927,0.074401,0.07448
71,100,1,0.018437,0.080502,0.086666,0.107631,0.085672,0.099168,0.093875,0.116345
81,100,1,0.021435,0.094992,0.104604,0.151204,0.104872,0.102574,0.104466,0.151645
91,100,1,0.024579,0.13193,0.16098,0.168422,0.138621,0.174277,0.086923,0.172784
101,100,1,0.027704,0.154622,0.135739,0.18484,0.107079,0.160771,0.108671,0.19636
1,100,1,0.016101,0.00025,0.005078,0.000222,0.003949,0.000172,0.003955,0.00021
11,100,1,0.254507,0.012107,0.006202,0.001733,0.005594,0.001586,0.005295,0.001652
21,100,1,0.202876,0.03545,0.009852,0.005459,0.010453,0.005596,0.011979,0.006495
31,100,1,0.33817,0.093037,0.01485,0.012636,0.01742,0.013186,0.018587,0.016599
41,100,1,0.302509,0.154544,0.032886,0.035251,0.028151,0.024556,0.031705,0.033577
51,100,1,0.269469,0.219974,0.046528,0.04587,0.054576,0.050232,0.053728,0.05715
61,100,1,0.374598,0.393142,0.064726,0.080054,0.068837,0.076566,0.068668,0.076844
71,100,1,0.414924,0.56134,0.102813,0.10822,0.097413,0.092464,0.085725,0.09926
81,100,1,0.559978,0.748871,0.137402,0.113132,0.093122,0.114414,0.120909,0.141749
91,100,1,0.538391,0.846044,0.130455,0.159029,0.137305,0.12652,0.147529,0.140433
101,100,1,0.701084,1.08699,0.138823,0.2053,0.136627,0.192558,0.178147,0.220598
1,100,1,0.022263,0.00039,0.005585,0.000271,0.004675,0.000168,0.004521,0.000207
11,100,1,0.134194,0.009596,0.005997,0.001668,0.005179,0.001594,0.004964,0.001607
21,100,1,0.18908,0.034386,0.010123,0.006805,0.00987,0.005626,0.010429,0.006484
31,100,1,0.178564,0.071842,0.016224,0.014125,0.022435,0.017945,0.024148,0.01937
41,100,1,0.255304,0.14099,0.034664,0.036973,0.03634,0.033087,0.031402,0.035108
51,100,1,0.26249,0.23413,0.056146,0.062068,0.049776,0.045838,0.055503,0.067662
61,100,1,0.326145,0.333011,0.081566,0.069394,0.072411,0.072863,0.072569,0.084167
