Gamma, tau, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
91,100,0.109391,0.159278,0.119359,0.144787
91,100,0.122782,0.142738,0.122692,0.147645
91,100,0.112185,0.113061,0.121422,0.14597
91,100,0.12387,0.144759,0.123839,0.156933
91,100,0.130122,0.127123,0.093194,0.116681
91,100,0.110657,0.143349,0.123997,0.179146
101,80,0.159154,0.165644,0.095779,0.146283
101,80,0.140311,0.169692,0.148818,0.176811
101,80,0.157022,0.161727,0.095248,0.14624
101,80,0.140066,0.163511,0.158496,0.16176
101,80,0.146083,0.176102,0.099925,0.132854
101,80,0.142912,0.166904,0.154353,0.165104
101,80,0.144303,0.173543,0.095223,0.131427
101,80,0.141875,0.158739,0.147847,0.175515
101,80,0.155258,0.165193,0.110697,0.133982
101,80,0.132973,0.167088,0.140517,0.176496
101,80,0.148214,0.17293,0.127357,0.133357
101,80,0.131306,0.168032,0.145341,0.176421
101,80,0.146621,0.173883,0.132722,0.13623
101,80,0.135832,0.171736,0.146595,0.175501
101,80,0.146982,0.172419,0.138805,0.145196
101,90,0.137039,0.164798,0.144286,0.170488
101,90,0.145887,0.174363,0.138396,0.148689
101,90,0.125956,0.16365,0.141498,0.171301
101,90,0.143567,0.174135,0.13958,0.145699
101,90,0.122592,0.161099,0.14483,0.170069
101,90,0.154761,0.158431,0.141976,0.161368
101,90,0.116442,0.151787,0.146488,0.170833
101,90,0.14619,0.177053,0.146544,0.174056
101,90,0.119976,0.148102,0.145993,0.178172
101,90,0.147907,0.173246,0.147026,0.172008
101,90,0.106572,0.150667,0.147121,0.175288
101,90,0.147215,0.176067,0.145072,0.180665
101,90,0.10929,0.151947,0.147568,0.174316
101,90,0.161067,0.160469,0.153522,0.165189
101,90,0.106652,0.144612,0.156042,0.167431
101,100,0.148224,0.174497,0.145658,0.196268
101,100,0.102215,0.141019,0.155801,0.161926
101,100,0.14734,0.17494,0.146275,0.174507
101,100,0.108241,0.139643,0.144263,0.175435
101,100,0.154494,0.165078,0.148212,0.177242
101,100,0.108077,0.136299,0.148224,0.184994
101,100,0.142559,0.189157,0.148638,0.170611
101,100,0.117305,0.132378,0.146871,0.170775
101,100,0.141268,0.175774,0.152464,0.173076
101,100,0.126979,0.133782,0.143487,0.16769
101,100,0.144799,0.174338,0.144457,0.178634
101,100,0.133425,0.124088,0.136477,0.177609
101,100,0.141195,0.171925,0.152448,0.175536
101,100,0.12936,0.127511,0.139331,0.177935
101,100,0.141719,0.174461,0.144229,0.185805
