Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKOPT, time_subproblem_KCRDKOPT, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG
11,40,0.013391,0.00294,0.030295,0.001671,0.005413,0.004173,0.004286,0.003435,0.005049,0.001722,0.005553,0.00161,0.004259,0.006936
11,40,0.005636,0.001919,0.037055,0.003027,0.004013,0.003084,0.004685,0.002827,0.004095,0.001554,0.005672,0.001741,0.003621,0.005158
11,40,0.006457,0.00196,0.023891,0.001764,0.003968,0.003295,0.005102,0.003921,0.004092,0.001758,0.00669,0.001549,0.005366,0.005579
11,40,0.577199,0.019093,0.016677,0.002372,0.012002,0.011381,0.005851,0.003223,0.010224,0.00301,0.006119,0.001715,0.010266,0.012168
11,40,0.006534,0.002313,0.024649,0.001825,0.004621,0.004269,0.003964,0.002372,0.005919,0.00201,0.004891,0.002122,0.004778,0.007345
11,40,0.674197,0.017323,0.01197,0.002098,0.010302,0.009609,0.005382,0.003985,0.008514,0.002523,0.006159,0.001674,0.00934,0.01216
11,40,0.020881,0.004688,0.031769,0.001907,0.007386,0.005817,0.007849,0.004548,0.006817,0.002734,0.009281,0.002868,0.007169,0.007896
11,40,0.636347,0.020059,0.019354,0.002053,0.012873,0.010577,0.005206,0.003176,0.008935,0.003266,0.005945,0.00193,0.008651,0.011092
11,40,0.05409,0.006437,0.02833,0.001759,0.004181,0.003685,0.004713,0.002551,0.005006,0.002121,0.004891,0.001617,0.004396,0.005395
11,40,0.00519,0.001993,0.030082,0.001919,0.004353,0.004667,0.005091,0.002723,0.003966,0.001671,0.006192,0.00164,0.004186,0.005251
11,40,0.049959,0.006472,0.03368,0.001788,0.008408,0.008134,0.009917,0.005018,0.006834,0.002697,0.008776,0.00277,0.007252,0.010081
11,40,0.011205,0.003136,0.028016,0.002035,0.004318,0.004815,0.004373,0.002847,0.004143,0.001539,0.005097,0.00209,0.004008,0.005075
11,40,0.037473,0.005104,0.023792,0.001875,0.007958,0.005276,0.007999,0.003819,0.007367,0.002843,0.011409,0.002767,0.007789,0.008949
11,40,0.005336,0.001932,0.023495,0.001737,0.003946,0.003642,0.004794,0.00423,0.004376,0.001693,0.006674,0.001712,0.005079,0.005444
