Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
21,90,2,600,0.110719,0.020848,0.116521,0.008934,0.096163,0.006612,0.179351,0.028835,0.164216,0.029307,0.047343,0.037344,0.049112,0.042332,0.054329,0.01201,0.062645,0.012589,0.046743,0.043617,0.055719,0.030492
41,90,2,600,0.099831,0.056441,0.109891,0.031232,0.097483,0.022902,0.728879,0.069422,0.515224,0.063181,0.063406,0.090427,0.061406,0.097191,0.058441,0.039468,0.080814,0.039395,0.068991,0.097272,0.063955,0.110541
61,90,2,600,0.108085,0.119596,0.153094,0.0652,0.083307,0.046088,1.28291,0.127042,0.992504,0.13942,0.08654,0.1758,0.086614,0.176567,0.083117,0.082299,0.104822,0.08139,0.084744,0.181947,0.089276,0.196881
81,90,2,600,0.106865,0.200066,0.121432,0.108108,0.089391,0.076752,2.14199,0.215834,2.14049,0.231811,0.118933,0.293869,0.118594,0.345407,0.113872,0.140784,0.127593,0.139725,0.116309,0.336432,0.11422,0.297689
101,90,2,600,0.101921,0.305057,0.117423,0.162793,0.090919,0.11563,3.01523,0.289335,2.98197,0.293742,0.153422,0.426162,0.155581,0.434516,0.152535,0.216795,0.168581,0.213348,0.154197,0.476228,0.152528,0.462836
1,90,2,600,0.067222,0.000349,0.080586,0.000195,0.081854,0.0002,0.05383,0.003273,0.054442,0.003011,0.048959,0.004567,0.051525,0.003534,0.056182,0.000291,0.051263,0.000233,0.047827,0.003722,0.044791,0.002517
21,90,2,600,8.0354,0.105378,8.19797,0.055454,16.0106,0.056639,0.061349,0.025762,0.066398,0.023087,0.042211,0.027735,0.08927,0.029044,0.041822,0.008018,0.050963,0.008743,0.050046,0.031298,0.136846,0.04766
41,90,2,600,8.92183,0.334609,8.68301,0.180588,15.6992,0.165255,0.073562,0.074078,0.071131,0.068082,0.052166,0.073346,0.045671,0.074614,0.044729,0.025864,0.04944,0.025669,0.056577,0.074284,0.045002,0.060568
61,90,2,600,8.76026,0.648604,10.2223,0.377981,16.0683,0.32139,0.150137,0.134052,0.161619,0.147381,0.070346,0.126732,0.06162,0.121287,0.06077,0.052209,0.064767,0.052103,0.066533,0.137116,0.067889,0.145883
81,90,2,600,9.65016,1.16605,10.0871,0.639121,22.7526,0.616416,0.253218,0.20387,0.235125,0.212667,0.087543,0.169873,0.087193,0.196582,0.081004,0.090234,0.085637,0.091557,0.083274,0.172864,0.087446,0.210224
101,90,2,600,8.66975,1.64901,9.4254,0.913886,20.7998,0.887717,0.518171,0.30768,0.456479,0.274024,0.110941,0.275285,0.111924,0.318805,0.105699,0.136563,0.114714,0.143665,0.159897,0.306033,0.106139,0.269302
1,90,2,600,0.034807,0.000197,0.044012,0.000132,0.037215,0.000128,0.028381,0.00265,0.034296,0.001218,0.0176,0.002709,0.019488,0.002418,0.018404,0.000172,0.027418,0.000185,0.02628,0.002746,0.018592,0.002376
21,90,2,600,0.036589,0.009384,0.039318,0.004875,0.059405,0.004765,0.184047,0.028056,0.176103,0.020182,0.028183,0.0215,0.026775,0.024018,0.028013,0.007776,0.039715,0.006656,0.027894,0.02366,0.028823,0.026717
41,90,2,600,0.033396,0.028142,0.041804,0.015941,0.050246,0.014828,0.808837,0.060437,0.672606,0.069166,0.035783,0.068083,0.04389,0.06163,0.035685,0.025193,0.046822,0.025638,0.036071,0.068967,0.036033,0.058395
