Fichier, Gamma, tau, time_master_s_classic, time_subproblem_s_classic, time_master_s_augmented, time_subproblem_s_augmented, time_master_s_augmented_HOG, time_subproblem_s_augmented_HOG
toy_instances/toy_instance_48.txt,1,80,0.027236,0.000613,0.006878,0.000467,0.007557,0.015718
toy_instances/toy_instance_19.txt,1,80,0.012518,0.000421,0.010533,0.000527,0.007983,0.028198
toy_instances/toy_instance_27.txt,1,80,0.026763,0.000574,0.011259,0.000545,0.011635,0.050783
toy_instances/toy_instance_22.txt,1,80,0.024949,0.000639,0.008753,0.000355,0.007242,0.02573
toy_instances/toy_instance_39.txt,1,80,0.093416,0.000803,0.010245,0.000357,0.010913,0.010319
toy_instances/toy_instance_23.txt,1,80,0.052279,0.000744,0.009683,0.000331,0.00896,0.011368
toy_instances/toy_instance_38.txt,1,80,0.056462,0.000863,0.013628,0.000414,0.01036,0.001216
toy_instances/toy_instance_8.txt,1,80,0.056843,0.000909,0.010542,0.000535,0.010958,0.024054
toy_instances/toy_instance_28.txt,1,80,0.030132,0.000705,0.00689,0.000383,0.008336,0.021703
toy_instances/toy_instance_21.txt,1,80,0.015605,0.00035,0.011683,0.000357,0.010888,0.03307
toy_instances/toy_instance_15.txt,1,80,0.02728,0.00063,0.012675,0.000586,0.010142,0.044075
toy_instances/toy_instance_44.txt,1,80,0.029519,0.000536,0.012213,0.000572,0.009889,0.041131
toy_instances/toy_instance_26.txt,1,80,0.088922,0.001298,0.050782,0.000534,0.026262,0.124856
toy_instances/toy_instance_32.txt,1,80,0.027874,0.001084,0.005599,0.000301,0.004322,0.021824
toy_instances/toy_instance_46.txt,1,80,0.026196,0.000517,0.011337,0.000536,0.023642,0.003629
toy_instances/toy_instance_17.txt,1,80,0.061404,0.000989,0.012026,0.000417,0.010206,0.025087
toy_instances/toy_instance_24.txt,1,80,0.016204,0.000372,0.014758,0.000404,0.009366,0.015802
toy_instances/toy_instance_49.txt,1,80,0.015848,0.00036,0.014774,0.003504,0.01024,0.036474
toy_instances/toy_instance_33.txt,1,80,0.013425,0.000336,0.008799,0.000275,0.007058,0.026859
