Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
31,60,0.004209,0.018239,0.037284,0.018594,0.015533,0.016687,0.010787,0.021347,0.018097,0.030381
31,60,0.003773,0.019555,0.042421,0.014613,0.014761,0.019998,0.015169,0.015799,0.011036,0.037301
31,60,0.004587,0.020333,0.038649,0.015794,0.014653,0.013857,0.017949,0.021625,0.014892,0.038967
31,60,0.00798,0.025136,0.040216,0.015002,0.025283,0.025755,0.014636,0.017363,0.010307,0.033277
31,60,0.005123,0.015067,0.046294,0.020186,0.015913,0.019461,0.016378,0.021597,0.016955,0.031109
31,60,0.002,0.020946,0.038408,0.016204,0.01408,0.019873,0.013146,0.025122,0.020851,0.034106
31,60,0.002743,0.018033,0.038291,0.015004,0.014214,0.019393,0.010793,0.023651,0.021086,0.030477
31,60,0.005204,0.020883,0.041473,0.014173,0.011802,0.019382,0.013068,0.022411,0.020254,0.032043
31,80,0.005964,0.019505,0.045095,0.013565,0.011398,0.021675,0.015507,0.018648,0.012934,0.033394
31,80,0.006057,0.015502,0.037674,0.017896,0.015166,0.016156,0.011404,0.025856,0.020034,0.032167
31,80,0.005213,0.020299,0.041904,0.012962,0.010244,0.023136,0.015031,0.020979,0.014638,0.033477
31,80,0.006634,0.01504,0.041581,0.012927,0.017875,0.022262,0.010656,0.024031,0.023506,0.037148
31,80,0.006381,0.022941,0.03566,0.018267,0.022316,0.022448,0.012598,0.018585,0.012597,0.030988
31,80,0.006712,0.015177,0.038933,0.016504,0.016462,0.015252,0.010302,0.021296,0.019392,0.029604
31,80,0.003685,0.016086,0.036524,0.01473,0.015831,0.017749,0.016939,0.014942,0.01293,0.035284
31,80,0.004545,0.023308,0.040968,0.014381,0.011173,0.022374,0.01039,0.023348,0.016381,0.032368
31,80,0.004022,0.020172,0.042946,0.019687,0.010966,0.024109,0.015179,0.021428,0.014455,0.028955
31,80,0.004857,0.019124,0.040261,0.015521,0.015289,0.018863,0.013716,0.024495,0.018628,0.031912
31,100,0.006099,0.01983,0.040333,0.014953,0.01933,0.014005,0.012654,0.019737,0.018541,0.033482
31,100,0.005033,0.01706,0.037169,0.014391,0.014879,0.015402,0.014848,0.018543,0.015241,0.03292
31,100,0.003654,0.020131,0.037406,0.013134,0.012513,0.023172,0.00995,0.024762,0.020285,0.028724
31,100,0.004131,0.017475,0.039196,0.016142,0.013359,0.018767,0.009805,0.022541,0.020247,0.030739
31,100,0.004344,0.020446,0.039375,0.01599,0.011392,0.023406,0.010775,0.022447,0.018532,0.032347
31,100,0.003424,0.020906,0.036,0.012752,0.012736,0.021526,0.013269,0.022824,0.020278,0.031045
31,100,0.004253,0.020972,0.037917,0.013297,0.010414,0.020528,0.011911,0.021609,0.019462,0.034629
31,100,0.006311,0.015122,0.03552,0.014365,0.014815,0.014044,0.014658,0.016838,0.013942,0.033835
31,100,0.004859,0.019585,0.030245,0.01698,0.013992,0.020265,0.010569,0.021087,0.018981,0.030582
31,100,0.003785,0.02119,0.039078,0.013439,0.01025,0.020554,0.011392,0.024883,0.020015,0.031882
41,0,0.013073,0.028985,0.057802,0.025765,0.021835,0.026971,0.020672,0.030353,0.018502,0.040787
41,0,0.012887,0.027553,0.045907,0.030738,0.02161,0.026424,0.024158,0.03181,0.016664,0.044781
41,0,0.00805,0.029448,0.04609,0.030384,0.025094,0.028514,0.018121,0.031014,0.020048,0.040881
41,0,0.00526,0.03424,0.046065,0.028311,0.018597,0.026581,0.02335,0.033277,0.019458,0.037644
41,0,0.004608,0.029491,0.046756,0.028282,0.020462,0.027852,0.019,0.030237,0.022133,0.041269
41,0,0.005127,0.030798,0.043621,0.029959,0.018349,0.024665,0.020727,0.027889,0.018546,0.035586
41,0,0.0108,0.04513,0.045073,0.028696,0.032932,0.028204,0.016138,0.029459,0.018414,0.047178
41,0,0.007144,0.029267,0.049134,0.027405,0.018935,0.027371,0.018065,0.027135,0.018504,0.042556
