Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
21,100,2,600,0.252531,0.0566,0.028839,0.007896,0.032941,0.007827,0.011124,0.010105,0.010396,0.008706,0.010946,0.008017,0.009818,0.007592,0.010378,0.009779,0.010775,0.008857
41,100,2,600,0.232885,0.185381,0.094354,0.030427,0.09304,0.029204,0.022634,0.031704,0.022127,0.031039,0.021649,0.028685,0.022239,0.028692,0.021244,0.031994,0.021301,0.030696
61,100,2,600,0.288148,0.417736,0.158151,0.061639,0.157564,0.061579,0.040251,0.065844,0.039239,0.064601,0.039351,0.059838,0.039839,0.060877,0.03986,0.065452,0.039241,0.065217
81,100,2,600,0.241875,0.657629,0.282665,0.107515,0.284725,0.107497,0.063637,0.111929,0.063135,0.110741,0.06339,0.10552,0.063862,0.105133,0.063232,0.11255,0.063213,0.110498
101,100,2,600,0.231286,1.01398,0.31085,0.164776,0.329608,0.165573,0.094277,0.171294,0.094176,0.171209,0.09368,0.153926,0.094697,0.162336,0.093645,0.173094,0.094234,0.170884
1,100,2,600,0.007525,0.000211,0.004276,0.000225,0.004341,0.000176,0.003794,0.001515,0.00284,0.000596,0.002612,0.000142,0.003367,0.000171,0.003632,0.001374,0.003128,0.000757
21,100,2,600,0.007144,0.009401,0.065256,0.008307,0.065352,0.008087,0.008201,0.008822,0.009238,0.008359,0.007937,0.008697,0.00905,0.007612,0.009121,0.009249,0.008057,0.00843
41,100,2,600,0.00667,0.033475,0.168552,0.029787,0.170682,0.030064,0.020557,0.030878,0.020168,0.030201,0.020064,0.028923,0.020806,0.028813,0.019998,0.030845,0.020087,0.030493
61,100,2,600,0.006688,0.070487,0.299114,0.064059,0.296812,0.063677,0.038384,0.064614,0.038223,0.065035,0.038871,0.061256,0.039059,0.061592,0.038369,0.064903,0.03834,0.064457
81,100,2,600,0.006983,0.150018,0.454501,0.116912,0.444044,0.109169,0.062065,0.11098,0.062187,0.110283,0.062032,0.10584,0.062961,0.105453,0.061981,0.112268,0.062315,0.111927
